UBA52	GO:1902036;GO:0006283;GO:0007254;GO:0051092;GO:0019083;GO:0000187;GO:0002755;GO:0075733;GO:0000184;GO:0002756;GO:0030666;GO:0051403;GO:0006296;GO:0034220;GO:0006294;GO:0044322;GO:0006297;GO:0006457;GO:0005765;GO:0005886;GO:0005634;GO:0005515;GO:0031625;GO:0003735;GO:0031982;GO:0035666;GO:0070628;GO:0000717;GO:0000715;GO:0038095;GO:0043123;GO:0042276;GO:0043488;GO:0045944;GO:0060544;GO:0002223;GO:0000165;GO:0070062;GO:0019221;GO:0016197;GO:0019068;GO:0019985;GO:0038128;GO:0016236;GO:0050852;GO:0070987;GO:0016579;GO:0055085;GO:0000209;GO:0005741;GO:0007249;GO:0043657;GO:0005615;GO:0005978;GO:0005737;GO:0010803;GO:0019058;GO:0010008;GO:0030512;GO:0036297;GO:0007179;GO:0008543;GO:0061418;GO:0006364;GO:0042059;GO:0005789;GO:0006879;GO:0035635;GO:0005829;GO:0016055;GO:0010972;GO:0032480;GO:0090263;GO:1901796;GO:0038061;GO:0005840;GO:0006413;GO:0033209;GO:0043161;GO:0007219;GO:0031145;GO:0031146;GO:0031386;GO:0070911;GO:1904380;GO:0016567;GO:0032479;GO:0033683;GO:0006464;GO:0045742;GO:0045746;GO:0005654;GO:0000122;GO:0000086;GO:0006614;GO:0006977;GO:0070423;GO:0060071;GO:0019941;GO:0061024;GO:0042769;GO:0044267;GO:0005783;GO:0090090;GO:0043066;GO:0045087;GO:0043065;GO:0070498
TCF20	GO:0003677;GO:0005634;GO:0003700;GO:0003723;GO:0016604;GO:0003713;GO:0006351;GO:0046872;GO:0044212;GO:0006355;GO:0045944;GO:0005654
U3KPZ7	GO:0005634;GO:0003723;GO:0050684;GO:0046872;GO:0003729;GO:0006397;GO:0046833
LSM4	GO:0008380;GO:0000956;GO:0043928;GO:0000932;GO:0005681;GO:0042731;GO:0043005;GO:0000245;GO:0005688;GO:0000387;GO:0000398;GO:0005654;GO:0017070;GO:0003723;GO:0005515;GO:0016020;GO:0033962;GO:0097526;GO:0005829;GO:0032991
IGFBP7	GO:0008285;GO:0044267;GO:0007155;GO:0005576;GO:0005520;GO:0043687;GO:0007566;GO:0005788;GO:0005615;GO:0009408;GO:0032526;GO:0005515;GO:0070062;GO:0001558;GO:0032870;GO:0031012;GO:0050810;GO:0051414
ZNF837	GO:0003677;GO:0005634;GO:0003700;GO:0006351;GO:0046872;GO:0006355;GO:0000981;GO:0006357
DDX49	GO:0005524;GO:0003723;GO:0005737;GO:0010501;GO:0006364;GO:0005730;GO:0004004;GO:0005654
SSNA1	GO:0005634;GO:0005813;GO:0042802;GO:0000086;GO:0005515;GO:0042073;GO:0036064;GO:0097711;GO:0005829;GO:0060830;GO:0010389
MAG	GO:0043209;GO:0007155;GO:0048711;GO:0043524;GO:0005887;GO:0022010;GO:0050771;GO:0010977;GO:0030246;GO:0043218;GO:0033270;GO:0042803;GO:1905576;GO:0033691;GO:0005886;GO:0071260;GO:0097453;GO:0035749;GO:0005737;GO:0030517;GO:0043220;GO:0098742;GO:0045121;GO:0050900;GO:0031643
NUDT21	GO:0016604;GO:0006369;GO:0051290;GO:0000398;GO:0005654;GO:0031439;GO:2000738;GO:0003723;GO:0005847;GO:0042382;GO:0051262;GO:0005849;GO:0003729;GO:2000975;GO:0042802;GO:0042803;GO:0042826;GO:1900365;GO:0003682;GO:0006397;GO:0006378;GO:1990120;GO:0010608;GO:0017091;GO:0005634;GO:0005813;GO:0005515;GO:0005815;GO:0005737;GO:0098789;GO:0031442;GO:0031124;GO:0016787
PCLO	GO:0014069;GO:0007010;GO:0030073;GO:0048788;GO:0045202;GO:0005522;GO:0005544;GO:0007416;GO:0005856;GO:0070062;GO:0099526;GO:0005509;GO:0030054;GO:0016079;GO:0017157;GO:0035418;GO:0019933
AGAP9	GO:0046872;GO:0005096;GO:0043547
ADH1C	GO:0008270;GO:0004745;GO:0005829;GO:0006069;GO:0004022;GO:0004024;GO:0005886;GO:0005654
