# Columns:
#
# unip_acc: Uniprot accession number
# unip_id: Uniprot identifier  
# source: Source of the transcriptions factor classification
#
#unip_acc	unip_id	source
Q9UDV6	ZN212_HUMAN	Vaquerizas et al.
Q9UC07	ZNF69_HUMAN	Vaquerizas et al.
Q9UC06	ZNF70_HUMAN	Vaquerizas et al.
Q9UBX0	HESX1_HUMAN	Vaquerizas et al.
Q9UBR4	LHX3_HUMAN	Vaquerizas et al.
Q9UBP5	HEY2_HUMAN	Vaquerizas et al.
Q9UBG7	RBPJL_HUMAN	Vaquerizas et al.
Q9UBC0	HNF6_HUMAN	Vaquerizas et al.
Q9P2Y4	ZN219_HUMAN	Vaquerizas et al.
Q9P2R6	RERE_HUMAN	Vaquerizas et al.
Q9P2K3	RCOR3_HUMAN	Vaquerizas et al.
Q9P2J8	ZN624_HUMAN	Vaquerizas et al.
Q9P2F9	ZN319_HUMAN	Vaquerizas et al.
Q9P2E3	ZNFX1_HUMAN	Vaquerizas et al.
Q9P243	ZFAT_HUMAN	Vaquerizas et al.
Q9P1Z0	ZBTB4_HUMAN	Vaquerizas et al.
Q9P0U4	CXXC1_HUMAN	Vaquerizas et al.
Q9P0T4	ZN581_HUMAN	Vaquerizas et al.
Q9P0L1	ZN167_HUMAN	Vaquerizas et al.
Q9P0K8	FOXJ2_HUMAN	Vaquerizas et al.
Q9P0J7	KCMF1_HUMAN	Vaquerizas et al.
Q9NZV7	ZIM2_HUMAN	Vaquerizas et al.
Q9NZR4	VSX1_HUMAN	Vaquerizas et al.
Q9NZL3	ZN224_HUMAN	Vaquerizas et al.
Q9NZI7	UBIP1_HUMAN	Vaquerizas et al.
Q9NZI6	TF2L1_HUMAN	Vaquerizas et al.
Q9NZI5	GRHL1_HUMAN	Vaquerizas et al.
Q9NZC4	EHF_HUMAN	Vaquerizas et al.
Q9NYW8	RBAK_HUMAN	Vaquerizas et al.
Q9NYT6	ZN226_HUMAN	Vaquerizas et al.
Q9NYF8	BCLF1_HUMAN	Vaquerizas et al.
Q9NYD6	HXC10_HUMAN	Vaquerizas et al.
Q9NY43	BARH2_HUMAN	Vaquerizas et al.
Q9NXT0	ZN586_HUMAN	Vaquerizas et al.
Q9NX65	ZN434_HUMAN	Vaquerizas et al.
Q9NWS9	ZN446_HUMAN	Vaquerizas et al.
Q9NW07	ZN358_HUMAN	Vaquerizas et al.
Q9NV72	ZN701_HUMAN	Vaquerizas et al.
Q9NUA8	ZBT40_HUMAN	Vaquerizas et al.
Q9NU63	ZFP57_HUMAN	Vaquerizas et al.
Q9NU39	FX4L1_HUMAN	Vaquerizas et al.
Q9NTW7	ZF64B_HUMAN	Vaquerizas et al.
Q9NSD4	ZN275_HUMAN	Vaquerizas et al.
Q9NSC2	SALL1_HUMAN	Vaquerizas et al.
Q9NRY4	GRLF1_HUMAN	Vaquerizas et al.
Q9NRM2	ZN277_HUMAN	Vaquerizas et al.
Q9NRE2	TSH2_HUMAN	Vaquerizas et al.
Q9NR55	BATF3_HUMAN	Vaquerizas et al.
Q9NR48	ASH1L_HUMAN	Vaquerizas et al.
Q9NR11	ZN302_HUMAN	Vaquerizas et al.
Q9NQZ8	ZNF71_HUMAN	Vaquerizas et al.
Q9NQX6	ZN331_HUMAN	Vaquerizas et al.
Q9NQX1	PRDM5_HUMAN	Vaquerizas et al.
Q9NQX0	PRDM6_HUMAN	Vaquerizas et al.
Q9NQW5	PRDM7_HUMAN	Vaquerizas et al.
Q9NQV8	PRDM8_HUMAN	Vaquerizas et al.
Q9NQV7	PRDM9_HUMAN	Vaquerizas et al.
Q9NQV6	PRD10_HUMAN	Vaquerizas et al.
Q9NQL9	DMRT3_HUMAN	Vaquerizas et al.
Q9NQB0	TF7L2_HUMAN	Vaquerizas et al.
Q9NQ87	HEYL_HUMAN	Vaquerizas et al.
Q9NQ69	LHX9_HUMAN	Vaquerizas et al.
Q9NQ33	ASCL3_HUMAN	Vaquerizas et al.
Q9NQ03	SCRT2_HUMAN	Vaquerizas et al.
Q9NPC8	SIX2_HUMAN	Vaquerizas et al.
Q9NPC7	MYNN_HUMAN	Vaquerizas et al.
Q9NPA5	ZF64A_HUMAN	Vaquerizas et al.
Q9NP71	WBS14_HUMAN	Vaquerizas et al.
Q9NP62	GCM1_HUMAN	Vaquerizas et al.
Q9NP08	HMX1_HUMAN	Vaquerizas et al.
Q9HD90	NDF4_HUMAN	Vaquerizas et al.
Q9HCZ1	ZN334_HUMAN	Vaquerizas et al.
Q9HCX3	ZN304_HUMAN	Vaquerizas et al.
Q9HCU5	PREB_HUMAN	Vaquerizas et al.
Q9HCS4	TF7L1_HUMAN	Vaquerizas et al.
Q9HCN4	GPN1_HUMAN	Vaquerizas et al.
Q9HCL3	ZFP14_HUMAN	Vaquerizas et al.
Q9HCK0	ZBT26_HUMAN	Vaquerizas et al.
Q9HCG1	ZN160_HUMAN	Vaquerizas et al.
Q9HCE3	ZN532_HUMAN	Vaquerizas et al.
Q9HCC6	HES4_HUMAN	Vaquerizas et al.
Q9HC78	ZBT20_HUMAN	Vaquerizas et al.
Q9HBZ2	ARNT2_HUMAN	Vaquerizas et al.
Q9HBU1	BARX1_HUMAN	Vaquerizas et al.
Q9HBT8	Z286A_HUMAN	Vaquerizas et al.
Q9HBT7	ZN287_HUMAN	Vaquerizas et al.
Q9HBE1	PATZ1_HUMAN	Vaquerizas et al.
Q9HB58	SP110_HUMAN	Vaquerizas et al.
Q9HAZ2	PRD16_HUMAN	Vaquerizas et al.
Q9HAP2	MLXIP_HUMAN	Vaquerizas et al.
Q9HAH1	ZN556_HUMAN	Vaquerizas et al.
Q9HA38	ZMAT3_HUMAN	Vaquerizas et al.
Q9H9S0	NANOG_HUMAN	Vaquerizas et al.
Q9H9D4	ZN408_HUMAN	Vaquerizas et al.
Q9H930	LY10L_HUMAN	Vaquerizas et al.
Q9H8N7	ZN395_HUMAN	Vaquerizas et al.
Q9H8G1	ZN430_HUMAN	Vaquerizas et al.
Q9H7X3	ZN696_HUMAN	Vaquerizas et al.
Q9H7S9	ZN703_HUMAN	Vaquerizas et al.
Q9H7R5	ZN665_HUMAN	Vaquerizas et al.
Q9H7R0	ZN442_HUMAN	Vaquerizas et al.
Q9H707	ZN552_HUMAN	Vaquerizas et al.
Q9H6I2	SOX17_HUMAN	Vaquerizas et al.
Q9H6B1	Z385D_HUMAN	Vaquerizas et al.
Q9H609	ZN576_HUMAN	Vaquerizas et al.
Q9H5V7	IKZF5_HUMAN	Vaquerizas et al.
Q9H5J0	ZBTB3_HUMAN	Vaquerizas et al.
Q9H582	ZN644_HUMAN	Vaquerizas et al.
Q9H4Z2	ZN335_HUMAN	Vaquerizas et al.
Q9H4W6	COE3_HUMAN	Vaquerizas et al.
Q9H4T2	ZSC16_HUMAN	Vaquerizas et al.
