# Columns:
#
# unip_acc: Uniprot accession number
# unip_id: Uniprot identifier  
# source: Source of the transcriptions factor classification
#
#unip_acc	unip_id	source
Q8NC26	ZN114_HUMAN	Vaquerizas et al.
Q8NBF1	GLIS1_HUMAN	Vaquerizas et al.
Q8NBB4	ZSCA1_HUMAN	Vaquerizas et al.
Q8NB50	ZFP62_HUMAN	Vaquerizas et al.
Q8NB42	ZN527_HUMAN	Vaquerizas et al.
Q8NB15	ZN511_HUMAN	Vaquerizas et al.
Q8NAP8	ZBT8B_HUMAN	Vaquerizas et al.
Q8NAP3	ZBT38_HUMAN	Vaquerizas et al.
Q8NAM6	ZSCA4_HUMAN	Vaquerizas et al.
Q8NAF0	ZN579_HUMAN	Vaquerizas et al.
Q8NA42	ZN383_HUMAN	Vaquerizas et al.
Q8N9Z0	ZN610_HUMAN	Vaquerizas et al.
Q8N9L1	ZIC4_HUMAN	Vaquerizas et al.
Q8N9K5	ZN565_HUMAN	Vaquerizas et al.
Q8N9F8	ZN454_HUMAN	Vaquerizas et al.
Q8N988	ZN557_HUMAN	Vaquerizas et al.
Q8N972	ZN709_HUMAN	Vaquerizas et al.
Q8N8Z8	ZN441_HUMAN	Vaquerizas et al.
Q8N8Y5	ZFP41_HUMAN	Vaquerizas et al.
Q8N8L2	ZN491_HUMAN	Vaquerizas et al.
Q8N8J6	ZN615_HUMAN	Vaquerizas et al.
Q8N8E2	ZN513_HUMAN	Vaquerizas et al.
Q8N895	ZN366_HUMAN	Vaquerizas et al.
Q8N883	ZN614_HUMAN	Vaquerizas et al.
Q8N859	ZN713_HUMAN	Vaquerizas et al.
Q8N823	ZN611_HUMAN	Vaquerizas et al.
Q8N7U7	TPRX1_HUMAN	Vaquerizas et al.
Q8N7M2	ZN283_HUMAN	Vaquerizas et al.
Q8N7K0	ZN433_HUMAN	Vaquerizas et al.
Q8N7E2	ZN645_HUMAN	Vaquerizas et al.
Q8N720	ZN655_HUMAN	Vaquerizas et al.
Q8N693	ESX1_HUMAN	Vaquerizas et al.
Q8N680	ZBTB2_HUMAN	Vaquerizas et al.
Q8N5J4	SPIC_HUMAN	Vaquerizas et al.
Q8N587	ZN561_HUMAN	Vaquerizas et al.
Q8N554	ZN276_HUMAN	Vaquerizas et al.
Q8N3X6	LCORL_HUMAN	Vaquerizas et al.
Q8N3J9	ZN664_HUMAN	Vaquerizas et al.
Q8N2R0	OSR2_HUMAN	Vaquerizas et al.
Q8N2I2	ZN619_HUMAN	Vaquerizas et al.
Q8N1W2	ZN710_HUMAN	Vaquerizas et al.
Q8N1L9	BATF2_HUMAN	Vaquerizas et al.
Q8N1G0	ZN687_HUMAN	Vaquerizas et al.
Q8N196	SIX5_HUMAN	Vaquerizas et al.
Q8N184	ZN567_HUMAN	Vaquerizas et al.
Q8N143	BCL6B_HUMAN	Vaquerizas et al.
Q8N108	MIER1_HUMAN	Vaquerizas et al.
Q8N100	ATOH7_HUMAN	Vaquerizas et al.
Q8N0Y2	ZN444_HUMAN	Vaquerizas et al.
Q8IZM8	ZN654_HUMAN	Vaquerizas et al.
Q8IZC7	ZN101_HUMAN	Vaquerizas et al.
Q8IZ40	RCOR2_HUMAN	Vaquerizas et al.
Q8IZ26	ZNF34_HUMAN	Vaquerizas et al.
Q8IZ20	ZN683_HUMAN	Vaquerizas et al.
Q8IYX0	ZN679_HUMAN	Vaquerizas et al.
Q8IYN0	ZN100_HUMAN	Vaquerizas et al.
Q8IYI8	ZN440_HUMAN	Vaquerizas et al.
Q8IYH5	ZZZ3_HUMAN	Vaquerizas et al.
Q8IYA7	MKX_HUMAN	Vaquerizas et al.
Q8IXZ3	SP8_HUMAN	Vaquerizas et al.
Q8IXT2	DMRTD_HUMAN	Vaquerizas et al.
Q8IX15	HOMEZ_HUMAN	Vaquerizas et al.
Q8IX07	FOG1_HUMAN	Vaquerizas et al.
Q8IWY8	ZSC29_HUMAN	Vaquerizas et al.
Q8IWI9	MGAP_HUMAN	Vaquerizas et al.
Q8IW36	ZN695_HUMAN	Vaquerizas et al.
Q8IVP9	ZN547_HUMAN	Vaquerizas et al.
Q8IVH2	FOXP4_HUMAN	Vaquerizas et al.
Q8IVC4	ZN584_HUMAN	Vaquerizas et al.
Q8IUM7	NPAS4_HUMAN	Vaquerizas et al.
Q8IUE1	TF2LX_HUMAN	Vaquerizas et al.
Q8IUE0	TF2LY_HUMAN	Vaquerizas et al.
Q8IU89	LASS3_HUMAN	Vaquerizas et al.
Q86YH2	Z280B_HUMAN	Vaquerizas et al.
Q86YE8	ZN573_HUMAN	Vaquerizas et al.
Q86Y25	Z354C_HUMAN	Vaquerizas et al.
Q86XU0	ZN677_HUMAN	Vaquerizas et al.
Q86XF7	ZN575_HUMAN	Vaquerizas et al.
Q86WZ6	ZN227_HUMAN	Vaquerizas et al.
Q86VZ6	JAZF1_HUMAN	Vaquerizas et al.
Q86VK4	ZN410_HUMAN	Vaquerizas et al.
Q86V15	CASZ1_HUMAN	Vaquerizas et al.
Q86UZ6	ZBT46_HUMAN	Vaquerizas et al.
Q86UQ0	ZN589_HUMAN	Vaquerizas et al.
Q86UP3	ZFHX4_HUMAN	Vaquerizas et al.
Q86UE3	ZN546_HUMAN	Vaquerizas et al.
Q86UD4	ZN329_HUMAN	Vaquerizas et al.
Q86TJ5	ZN554_HUMAN	Vaquerizas et al.
Q86T29	ZN605_HUMAN	Vaquerizas et al.
Q86T24	KAISO_HUMAN	Vaquerizas et al.
Q7Z7L9	ZSCA2_HUMAN	Vaquerizas et al.
Q7Z7K2	ZN467_HUMAN	Vaquerizas et al.
Q7Z6R9	AP2D_HUMAN	Vaquerizas et al.
Q7Z4V0	ZN438_HUMAN	Vaquerizas et al.
Q7Z3V5	ZN571_HUMAN	Vaquerizas et al.
Q7Z3K6	MIER3_HUMAN	Vaquerizas et al.
Q7Z3I7	ZN572_HUMAN	Vaquerizas et al.
Q7Z353	HDX_HUMAN	Vaquerizas et al.
Q7Z340	ZN551_HUMAN	Vaquerizas et al.
Q7RTU3	OLIG3_HUMAN	Vaquerizas et al.
Q7RTS3	PTF1A_HUMAN	Vaquerizas et al.
Q7RTS1	BHA15_HUMAN	Vaquerizas et al.
Q7L945	ZN627_HUMAN	Vaquerizas et al.
Q7L3S4	ZN771_HUMAN	Vaquerizas et al.
Q7L2R6	ZN765_HUMAN	Vaquerizas et al.
Q70YC5	ZN365_HUMAN	Vaquerizas et al.
Q70YC4	TALAN_HUMAN	Vaquerizas et al.
Q70SY1	CR3L2_HUMAN	Vaquerizas et al.
Q6ZV50	YB020_HUMAN	Vaquerizas et al.
Q6ZSZ6	TSH1_HUMAN	Vaquerizas et al.
Q6ZSS3	ZN621_HUMAN	Vaquerizas et al.
Q6ZSB9	ZBT49_HUMAN	Vaquerizas et al.
Q6ZS27	ZN662_HUMAN	Vaquerizas et al.
Q6ZR52	ZN493_HUMAN	Vaquerizas et al.
Q6ZNH5	ZN497_HUMAN	Vaquerizas et al.
Q6ZNG2	DBX2_HUMAN	Vaquerizas et al.
Q6ZNG1	ZN600_HUMAN	Vaquerizas et al.
Q6ZNG0	ZN620_HUMAN	Vaquerizas et al.
Q6ZNC4	ZN704_HUMAN	Vaquerizas et al.
Q6ZN79	Z705A_HUMAN	Vaquerizas et al.
Q6ZN57	ZFP2_HUMAN	Vaquerizas et al.
Q6ZN55	ZN574_HUMAN	Vaquerizas et al.
Q6ZN30	BNC2_HUMAN	Vaquerizas et al.
Q6ZN18	AEBP2_HUMAN	Vaquerizas et al.
Q6ZN08	ZNF66_HUMAN	Vaquerizas et al.
Q6ZMY9	ZN517_HUMAN	Vaquerizas et al.
Q6ZMV8	ZN730_HUMAN	Vaquerizas et al.
Q6ZMS7	ZN783_HUMAN	Vaquerizas et al.
Q6XYB7	LBX2_HUMAN	Vaquerizas et al.
Q6XD76	ASCL4_HUMAN	Vaquerizas et al.
Q6VUC0	AP2E_HUMAN	Vaquerizas et al.
Q6VB85	FX4L2_HUMAN	Vaquerizas et al.
Q6VB84	FX4L3_HUMAN	Vaquerizas et al.
Q6V9R5	ZN562_HUMAN	Vaquerizas et al.
Q6U7Q0	Z322A_HUMAN	Vaquerizas et al.
Q6S9Z5	ZN474_HUMAN	Vaquerizas et al.
Q6QHK4	FIGLA_HUMAN	Vaquerizas et al.
Q6PJQ5	FOXR2_HUMAN	Vaquerizas et al.
Q6PJG2	CN043_HUMAN	Vaquerizas et al.
Q6PIV2	FOXR1_HUMAN	Vaquerizas et al.
Q6PF04	ZN613_HUMAN	Vaquerizas et al.
Q6P9G9	ZN449_HUMAN	Vaquerizas et al.
Q6P9A3	ZN549_HUMAN	Vaquerizas et al.
Q6P9A1	ZN530_HUMAN	Vaquerizas et al.
Q6P4R8	NFRKB_HUMAN	Vaquerizas et al.
Q6P3V2	Z585A_HUMAN	Vaquerizas et al.
Q6P2D0	ZFP1_HUMAN	Vaquerizas et al.
Q6P280	ZN529_HUMAN	Vaquerizas et al.
Q6P1L6	ZN343_HUMAN	Vaquerizas et al.
Q6NX49	ZN544_HUMAN	Vaquerizas et al.
Q6NUN9	ZN746_HUMAN	Vaquerizas et al.
Q6NT76	HMBX1_HUMAN	Vaquerizas et al.
Q6NSZ9	ZN498_HUMAN	Vaquerizas et al.
Q6NSW7	NANP8_HUMAN	Vaquerizas et al.
Q6N045	ZNP12_HUMAN	Vaquerizas et al.
Q6N043	Z280D_HUMAN	Vaquerizas et al.
Q6IV72	ZN425_HUMAN	Vaquerizas et al.
Q6ISB3	GRHL2_HUMAN	Vaquerizas et al.
Q6IQ32	ADNP2_HUMAN	Vaquerizas et al.
Q6ECI4	ZN470_HUMAN	Vaquerizas et al.
Q6DJT9	PLAG1_HUMAN	Vaquerizas et al.
Q6BEB4	SP5_HUMAN	Vaquerizas et al.
Q6AZW8	ZN660_HUMAN	Vaquerizas et al.
Q6AHZ1	Z518A_HUMAN	Vaquerizas et al.
Q68G74	LHX8_HUMAN	Vaquerizas et al.
Q68EA5	ZNF57_HUMAN	Vaquerizas et al.
Q68DY1	ZN626_HUMAN	Vaquerizas et al.
Q68CJ9	CR3L3_HUMAN	Vaquerizas et al.
Q66K89	E4F1_HUMAN	Vaquerizas et al.
Q63HK5	TSH3_HUMAN	Vaquerizas et al.
Q63HK3	ZKSC2_HUMAN	Vaquerizas et al.
Q5XKR4	OTP_HUMAN	Vaquerizas et al.
Q5VZB9	DMRTA_HUMAN	Vaquerizas et al.
Q5VV52	ZN691_HUMAN	Vaquerizas et al.
Q5VUA4	ZN318_HUMAN	Vaquerizas et al.
Q5VTD9	GFI1B_HUMAN	Vaquerizas et al.
Q5VIY5	ZN468_HUMAN	Vaquerizas et al.
Q5TYW1	ZN658_HUMAN	Vaquerizas et al.
Q5TEC3	ZN697_HUMAN	Vaquerizas et al.
Q5TC79	ZBT37_HUMAN	Vaquerizas et al.
Q5TA89	HES5_HUMAN	Vaquerizas et al.
Q5T7W0	ZN618_HUMAN	Vaquerizas et al.
Q5T619	ZN648_HUMAN	Vaquerizas et al.
Q5T5D7	ZN684_HUMAN	Vaquerizas et al.
Q5T1R4	ZEP3_HUMAN	Vaquerizas et al.
Q5SYY0	Z322B_HUMAN	Vaquerizas et al.
Q5SXM2	SNPC4_HUMAN	Vaquerizas et al.
Q5SXM1	ZN678_HUMAN	Vaquerizas et al.
Q5SVQ8	ZBT41_HUMAN	Vaquerizas et al.
Q5SQQ9	VAX1_HUMAN	Vaquerizas et al.
Q5MCW4	ZN569_HUMAN	Vaquerizas et al.
Q5JVG8	ZN506_HUMAN	Vaquerizas et al.
Q5JVG2	ZN484_HUMAN	Vaquerizas et al.
Q5JUK2	SOLH1_HUMAN	Vaquerizas et al.
Q5JT82	KLF17_HUMAN	Vaquerizas et al.
Q5JNZ3	ZN311_HUMAN	Vaquerizas et al.
Q5HYK9	ZN667_HUMAN	Vaquerizas et al.
Q5H9I0	TFDP3_HUMAN	Vaquerizas et al.
Q5EBM4	ZN542_HUMAN	Vaquerizas et al.
Q5EBL2	ZN628_HUMAN	Vaquerizas et al.
Q5BKZ1	ZN326_HUMAN	Vaquerizas et al.
Q569K4	Z385B_HUMAN	Vaquerizas et al.
Q53GI3	ZN394_HUMAN	Vaquerizas et al.
Q4V348	Z658B_HUMAN	Vaquerizas et al.
Q4G112	HSF5_HUMAN	Vaquerizas et al.
Q49AA0	ZN642_HUMAN	Vaquerizas et al.
Q499Z4	ZN672_HUMAN	Vaquerizas et al.
Q494X3	ZN404_HUMAN	Vaquerizas et al.
Q3ZCX4	ZN568_HUMAN	Vaquerizas et al.
Q3T8J9	GON4L_HUMAN	Vaquerizas et al.
Q3SYB3	FX4L6_HUMAN	Vaquerizas et al.
Q3SY56	SP6_HUMAN	Vaquerizas et al.
Q3SY52	ZIK1_HUMAN	Vaquerizas et al.
Q3MJ62	ZSC23_HUMAN	Vaquerizas et al.
Q3KNW1	SNAI3_HUMAN	Vaquerizas et al.
Q3B8N5	PROX2_HUMAN	Vaquerizas et al.
Q33E94	RFX4_HUMAN	Vaquerizas et al.
Q32MQ0	ZN750_HUMAN	Vaquerizas et al.
Q32M78	ZN699_HUMAN	Vaquerizas et al.
Q2VY69	ZN284_HUMAN	Vaquerizas et al.
Q2VWA4	CORL2_HUMAN	Vaquerizas et al.
Q2TAN0	Z705C_HUMAN	Vaquerizas et al.
Q2QGD7	ZXDC_HUMAN	Vaquerizas et al.
Q2M3W8	ZN181_HUMAN	Vaquerizas et al.
Q2M1V0	ISX_HUMAN	Vaquerizas et al.
Q2M1K9	ZN423_HUMAN	Vaquerizas et al.
Q2KHR2	RFX7_HUMAN	Vaquerizas et al.
Q16666	IF16_HUMAN	Vaquerizas et al.
Q16665	HIF1A_HUMAN	Vaquerizas et al.
Q16656	NRF1_HUMAN	Vaquerizas et al.
Q16650	TBR1_HUMAN	Vaquerizas et al.
Q16649	NFIL3_HUMAN	Vaquerizas et al.
Q16621	NFE2_HUMAN	Vaquerizas et al.
Q16600	ZN239_HUMAN	Vaquerizas et al.
Q16587	ZNF74_HUMAN	Vaquerizas et al.
Q16559	TAL2_HUMAN	Vaquerizas et al.
Q16534	HLF_HUMAN	Vaquerizas et al.
Q16520	BATF_HUMAN	Vaquerizas et al.
Q16254	E2F4_HUMAN	Vaquerizas et al.
Q16236	NF2L2_HUMAN	Vaquerizas et al.
Q15937	ZNF79_HUMAN	Vaquerizas et al.
Q15935	ZNF77_HUMAN	Vaquerizas et al.
Q15929	ZNF56_HUMAN	Vaquerizas et al.
Q15928	ZN141_HUMAN	Vaquerizas et al.
Q15916	ZBTB6_HUMAN	Vaquerizas et al.
Q15915	ZIC1_HUMAN	Vaquerizas et al.
Q15911	ZFHX3_HUMAN	Vaquerizas et al.
Q15910	EZH2_HUMAN	Vaquerizas et al.
Q15853	USF2_HUMAN	Vaquerizas et al.
Q15797	SMAD1_HUMAN	Vaquerizas et al.
Q15796	SMAD2_HUMAN	Vaquerizas et al.
Q15784	NDF2_HUMAN	Vaquerizas et al.
Q15776	ZN192_HUMAN	Vaquerizas et al.
Q15744	CEBPE_HUMAN	Vaquerizas et al.
Q15723	ELF2_HUMAN	Vaquerizas et al.
Q15714	T22D1_HUMAN	Vaquerizas et al.
Q15699	ALX1_HUMAN	Vaquerizas et al.
Q15697	ZN174_HUMAN	Vaquerizas et al.
Q15672	TWST1_HUMAN	Vaquerizas et al.
Q15583	TGIF1_HUMAN	Vaquerizas et al.
Q15562	TEAD2_HUMAN	Vaquerizas et al.
Q15561	TEAD4_HUMAN	Vaquerizas et al.
Q15475	SIX1_HUMAN	Vaquerizas et al.
Q15406	NR6A1_HUMAN	Vaquerizas et al.
Q15329	E2F5_HUMAN	Vaquerizas et al.
Q15319	PO4F3_HUMAN	Vaquerizas et al.
Q15306	IRF4_HUMAN	Vaquerizas et al.
Q15072	OZF_HUMAN	Vaquerizas et al.
Q14995	NR1D2_HUMAN	Vaquerizas et al.
Q14994	NR1I3_HUMAN	Vaquerizas et al.
Q14938	NFIX_HUMAN	Vaquerizas et al.
Q14934	NFAC4_HUMAN	Vaquerizas et al.
Q14929	ZN169_HUMAN	Vaquerizas et al.
Q14919	NC2A_HUMAN	Vaquerizas et al.
Q14872	MTF1_HUMAN	Vaquerizas et al.
Q14865	ARI5B_HUMAN	Vaquerizas et al.
Q14863	PO6F1_HUMAN	Vaquerizas et al.
Q14814	MEF2D_HUMAN	Vaquerizas et al.
Q14774	HLX_HUMAN	Vaquerizas et al.
Q14765	STAT4_HUMAN	Vaquerizas et al.
Q14653	IRF3_HUMAN	Vaquerizas et al.
Q14593	ZN273_HUMAN	Vaquerizas et al.
Q14592	ZN460_HUMAN	Vaquerizas et al.
Q14590	ZN235_HUMAN	Vaquerizas et al.
Q14588	ZN234_HUMAN	Vaquerizas et al.
Q14587	ZN268_HUMAN	Vaquerizas et al.
Q14586	ZN267_HUMAN	Vaquerizas et al.
Q14584	ZN266_HUMAN	Vaquerizas et al.
Q14582	MAD4_HUMAN	Vaquerizas et al.
Q14549	GBX1_HUMAN	Vaquerizas et al.
Q14541	HNF4G_HUMAN	Vaquerizas et al.
Q14526	HIC1_HUMAN	Vaquerizas et al.
Q14494	NF2L1_HUMAN	Vaquerizas et al.
Q14469	HES1_HUMAN	Vaquerizas et al.
Q14209	E2F2_HUMAN	Vaquerizas et al.
Q14190	SIM2_HUMAN	Vaquerizas et al.
Q14188	TFDP2_HUMAN	Vaquerizas et al.
Q14186	TFDP1_HUMAN	Vaquerizas et al.
Q14119	VEZF1_HUMAN	Vaquerizas et al.
Q13952	NFYC_HUMAN	Vaquerizas et al.
Q13951	PEBB_HUMAN	Vaquerizas et al.
Q13950	RUNX2_HUMAN	Vaquerizas et al.
Q13948	CASP_HUMAN	Vaquerizas et al.
Q13887	KLF5_HUMAN	Vaquerizas et al.
Q13886	KLF9_HUMAN	Vaquerizas et al.
Q13761	RUNX3_HUMAN	Vaquerizas et al.
Q13568	IRF5_HUMAN	Vaquerizas et al.
Q13562	NDF1_HUMAN	Vaquerizas et al.
Q13516	OLIG2_HUMAN	Vaquerizas et al.
Q13485	SMAD4_HUMAN	Vaquerizas et al.
Q13469	NFAC2_HUMAN	Vaquerizas et al.
Q13461	FOXE3_HUMAN	Vaquerizas et al.
Q13422	IKZF1_HUMAN	Vaquerizas et al.
Q13398	ZN211_HUMAN	Vaquerizas et al.
Q13360	ZN177_HUMAN	Vaquerizas et al.
Q13351	KLF1_HUMAN	Vaquerizas et al.
Q13285	STF1_HUMAN	Vaquerizas et al.
Q13207	TBX2_HUMAN	Vaquerizas et al.
Q13133	NR1H3_HUMAN	Vaquerizas et al.
Q13129	RLF_HUMAN	Vaquerizas et al.
Q13127	REST_HUMAN	Vaquerizas et al.
Q13118	KLF10_HUMAN	Vaquerizas et al.
Q13105	ZBT17_HUMAN	Vaquerizas et al.
Q13029	PRDM2_HUMAN	Vaquerizas et al.
Q12986	NFX1_HUMAN	Vaquerizas et al.
Q12968	NFAC3_HUMAN	Vaquerizas et al.
Q12952	FOXL1_HUMAN	Vaquerizas et al.
Q12951	FOXI1_HUMAN	Vaquerizas et al.
Q12950	FOXD4_HUMAN	Vaquerizas et al.
Q12948	FOXC1_HUMAN	Vaquerizas et al.
Q12947	FOXF2_HUMAN	Vaquerizas et al.
Q12946	FOXF1_HUMAN	Vaquerizas et al.
Q12901	ZN155_HUMAN	Vaquerizas et al.
Q12870	TCF15_HUMAN	Vaquerizas et al.
Q12857	NFIA_HUMAN	Vaquerizas et al.
Q12837	PO4F2_HUMAN	Vaquerizas et al.
Q12800	TFCP2_HUMAN	Vaquerizas et al.
Q12778	FOXO1_HUMAN	Vaquerizas et al.
Q12772	SRBP2_HUMAN	Vaquerizas et al.
Q10587	TEF_HUMAN	Vaquerizas et al.
Q10586	DBP_HUMAN	Vaquerizas et al.
Q0VG99	MESP2_HUMAN	Vaquerizas et al.
Q09FC8	ZN415_HUMAN	Vaquerizas et al.
Q08ER8	ZN543_HUMAN	Vaquerizas et al.
Q08AN1	ZN616_HUMAN	Vaquerizas et al.
Q08050	FOXM1_HUMAN	Vaquerizas et al.
Q07869	PPARA_HUMAN	Vaquerizas et al.
Q07687	DLX2_HUMAN	Vaquerizas et al.
Q07352	TISB_HUMAN	Vaquerizas et al.
Q06945	SOX4_HUMAN	Vaquerizas et al.
Q06889	EGR3_HUMAN	Vaquerizas et al.
Q06732	ZN33B_HUMAN	Vaquerizas et al.
Q06730	ZN33A_HUMAN	Vaquerizas et al.
Q06710	PAX8_HUMAN	Vaquerizas et al.
Q06547	GABP1_HUMAN	Vaquerizas et al.
Q06546	GABPA_HUMAN	Vaquerizas et al.
Q06413	MEF2C_HUMAN	Vaquerizas et al.
Q06330	SUH_HUMAN	Vaquerizas et al.
Q05925	HME1_HUMAN	Vaquerizas et al.
Q05516	ZBT16_HUMAN	Vaquerizas et al.
Q05481	ZNF91_HUMAN	Vaquerizas et al.
Q05215	EGR4_HUMAN	Vaquerizas et al.
Q05195	MAD1_HUMAN	Vaquerizas et al.
Q05066	SRY_HUMAN	Vaquerizas et al.
Q04864	REL_HUMAN	Vaquerizas et al.
Q04743	EMX2_HUMAN	Vaquerizas et al.
Q04741	EMX1_HUMAN	Vaquerizas et al.
Q04206	TF65_HUMAN	Vaquerizas et al.
Q03938	ZNF90_HUMAN	Vaquerizas et al.
Q03936	ZNF92_HUMAN	Vaquerizas et al.
Q03933	HSF2_HUMAN	Vaquerizas et al.
Q03924	ZN117_HUMAN	Vaquerizas et al.
Q03923	ZNF85_HUMAN	Vaquerizas et al.
Q03828	EVX2_HUMAN	Vaquerizas et al.
Q03701	CEBPZ_HUMAN	Vaquerizas et al.
Q03181	PPARD_HUMAN	Vaquerizas et al.
Q03112	EVI1_HUMAN	Vaquerizas et al.
Q03111	ENL_HUMAN	Vaquerizas et al.
Q03060	CREM_HUMAN	Vaquerizas et al.
Q03052	PO3F1_HUMAN	Vaquerizas et al.
Q03014	HHEX_HUMAN	Vaquerizas et al.
Q02962	PAX2_HUMAN	Vaquerizas et al.
Q02930	CREB5_HUMAN	Vaquerizas et al.
Q02577	HEN2_HUMAN	Vaquerizas et al.
Q02575	HEN1_HUMAN	Vaquerizas et al.
Q02556	IRF8_HUMAN	Vaquerizas et al.
Q02548	PAX5_HUMAN	Vaquerizas et al.
Q02535	ID3_HUMAN	Vaquerizas et al.
Q02447	SP3_HUMAN	Vaquerizas et al.
Q02446	SP4_HUMAN	Vaquerizas et al.
Q02386	ZNF45_HUMAN	Vaquerizas et al.
Q02363	ID2_HUMAN	Vaquerizas et al.
Q02086	SP2_HUMAN	Vaquerizas et al.
Q02080	MEF2B_HUMAN	Vaquerizas et al.
Q02078	MEF2A_HUMAN	Vaquerizas et al.
Q01954	BNC1_HUMAN	Vaquerizas et al.
Q01892	SPIB_HUMAN	Vaquerizas et al.
Q01860	PO5F1_HUMAN	Vaquerizas et al.
Q01851	PO4F1_HUMAN	Vaquerizas et al.
Q01826	SATB1_HUMAN	Vaquerizas et al.
Q01664	TFAP4_HUMAN	Vaquerizas et al.
Q01658	NC2B_HUMAN	Vaquerizas et al.
Q01543	FLI1_HUMAN	Vaquerizas et al.
Q01538	MYT1_HUMAN	Vaquerizas et al.
Q01201	RELB_HUMAN	Vaquerizas et al.
Q01196	RUNX1_HUMAN	Vaquerizas et al.
Q01167	FOXK2_HUMAN	Vaquerizas et al.
Q01101	INSM1_HUMAN	Vaquerizas et al.
Q01094	E2F1_HUMAN	Vaquerizas et al.
Q00978	IRF9_HUMAN	Vaquerizas et al.
Q00653	NFKB2_HUMAN	Vaquerizas et al.
Q00613	HSF1_HUMAN	Vaquerizas et al.
Q00444	HXC5_HUMAN	Vaquerizas et al.
Q00059	TFAM_HUMAN	Vaquerizas et al.
Q00056	HXA4_HUMAN	Vaquerizas et al.
P98182	ZN200_HUMAN	Vaquerizas et al.
P98177	FOXO4_HUMAN	Vaquerizas et al.
P98169	ZXDB_HUMAN	Vaquerizas et al.
P98168	ZXDA_HUMAN	Vaquerizas et al.
P84550	LBXCO_HUMAN	Vaquerizas et al.
P84022	SMAD3_HUMAN	Vaquerizas et al.
P81133	SIM1_HUMAN	Vaquerizas et al.
P78545	ELF3_HUMAN	Vaquerizas et al.
P78426	NKX61_HUMAN	Vaquerizas et al.
P78424	PO6F2_HUMAN	Vaquerizas et al.
P78415	IRX3_HUMAN	Vaquerizas et al.
P78414	IRX1_HUMAN	Vaquerizas et al.
P78413	IRX4_HUMAN	Vaquerizas et al.
P78412	IRX6_HUMAN	Vaquerizas et al.
P78411	IRX5_HUMAN	Vaquerizas et al.
P78367	NKX32_HUMAN	Vaquerizas et al.
P78337	PITX1_HUMAN	Vaquerizas et al.
P67809	YBOX1_HUMAN	Vaquerizas et al.
P62508	ERR3_HUMAN	Vaquerizas et al.
P61371	ISL1_HUMAN	Vaquerizas et al.
P61296	HAND2_HUMAN	Vaquerizas et al.
P61244	MAX_HUMAN	Vaquerizas et al.
P59923	ZN445_HUMAN	Vaquerizas et al.
P59817	Z280A_HUMAN	Vaquerizas et al.
P58317	ZN121_HUMAN	Vaquerizas et al.
P58304	VSX2_HUMAN	Vaquerizas et al.
P58012	FOXL2_HUMAN	Vaquerizas et al.
P57682	KLF3_HUMAN	Vaquerizas et al.
P57082	TBX4_HUMAN	Vaquerizas et al.
P57073	SOX8_HUMAN	Vaquerizas et al.
P57071	PRD15_HUMAN	Vaquerizas et al.
P56915	GSC_HUMAN	Vaquerizas et al.
P56693	SOX10_HUMAN	Vaquerizas et al.
P56270	MAZ_HUMAN	Vaquerizas et al.
P56179	DLX6_HUMAN	Vaquerizas et al.
P56178	DLX5_HUMAN	Vaquerizas et al.
P56177	DLX1_HUMAN	Vaquerizas et al.
P55771	PAX9_HUMAN	Vaquerizas et al.
P55347	PKNX1_HUMAN	Vaquerizas et al.
P55318	FOXA3_HUMAN	Vaquerizas et al.
P55317	FOXA1_HUMAN	Vaquerizas et al.
P55316	FOXG1_HUMAN	Vaquerizas et al.
P55055	NR1H2_HUMAN	Vaquerizas et al.
P54845	NRL_HUMAN	Vaquerizas et al.
P54821	PRRX1_HUMAN	Vaquerizas et al.
P53567	CEBPG_HUMAN	Vaquerizas et al.
P53539	FOSB_HUMAN	Vaquerizas et al.
P52954	LBX1_HUMAN	Vaquerizas et al.
P52952	NKX25_HUMAN	Vaquerizas et al.
P52951	GBX2_HUMAN	Vaquerizas et al.
P52945	PDX1_HUMAN	Vaquerizas et al.
P52747	ZN143_HUMAN	Vaquerizas et al.
P52746	ZN142_HUMAN	Vaquerizas et al.
P52744	ZN138_HUMAN	Vaquerizas et al.
P52742	ZN135_HUMAN	Vaquerizas et al.
P52741	ZN134_HUMAN	Vaquerizas et al.
P52740	ZN132_HUMAN	Vaquerizas et al.
P52739	ZN131_HUMAN	Vaquerizas et al.
P52738	ZN140_HUMAN	Vaquerizas et al.
P52737	ZN136_HUMAN	Vaquerizas et al.
P52736	ZN133_HUMAN	Vaquerizas et al.
P52630	STAT2_HUMAN	Vaquerizas et al.
P51843	NR0B1_HUMAN	Vaquerizas et al.
P51826	AFF3_HUMAN	Vaquerizas et al.
P51815	ZN75D_HUMAN	Vaquerizas et al.
P51814	ZNF41_HUMAN	Vaquerizas et al.
P51786	ZN157_HUMAN	Vaquerizas et al.
P51692	STA5B_HUMAN	Vaquerizas et al.
P51523	ZNF84_HUMAN	Vaquerizas et al.
P51522	ZNF83_HUMAN	Vaquerizas et al.
P51508	ZNF81_HUMAN	Vaquerizas et al.
P51504	ZNF80_HUMAN	Vaquerizas et al.
P51449	RORG_HUMAN	Vaquerizas et al.
P50607	TUB_HUMAN	Vaquerizas et al.
P50553	ASCL1_HUMAN	Vaquerizas et al.
P50549	ETV1_HUMAN	Vaquerizas et al.
